Time,actionAngle1,actionAngle2,jointAngle1,jointAngle2,pos_x,pos_y,touch_id_row,touch_id_col,touch
1820,0.07105090299438896,0.02579415416559533,-0.722235375774594,1.0285004225520298,184.1224497270752,295.61331440987755,4,15,0,20,0,0,3,13,0,0,0,12,0,15,0,0,31,33,31,0,0,0,10,0,5,0,0,0,2,3,0,0,0,0,23,0,3,27,25,16,0,0,0,22,0,11,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,0,7,0,0,0,14,0,0,14,6,0,0,0,11,1,17,0,3,8,6,24,0,0,0,8,4,0,0,0,8,10,0,0,13,0,0,13,0,27,18,48,43,0,36,0,17,0,0,0,0,0,0,0,0,0,0,7,21,0,29,10,36,22,5,24,0,8,6,0,0,0,0,0,0,0,16,0,0,6,0,0,13,19,7,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,16,16,33,35,0,48,3,18,2,0,0,8,1,6,11,0,34,0,0,23,0,4,0,22,0,0,0,0,27,0,0,0,0,0,0,12,0,0,0,0,21,0,10,0,10,3,0,0,0,28,7,11,0,15,1,0,2,0,0,0,0,13,0,0,0,0,0,0,0,16,23,0,0,4,0,0,0,13,0,13,0,7,40,11,11,0,0,0,0,0,4,7
2011,0.09275982559221582,0.01807037457414913,-0.7047186633917232,0.9872883984748401,187.14943904241574,298.4149330380171,1,18,20,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,10,26,0,9,0,0,7,7,0,17,0,4,18,0,29,2,14,0,5,172,0,0,32,18,15,0,0,0,26,8,25,0,50,22,0,13,0,0,2,0,0,0,0,26,6,0,0,8,1,13,0,31,2,22,13,0,0,0,18,0,0,0,0,0,48,34,0,0,0,6,0,0,0,0,14,0,0,0,0,2,4,0,21,0,0,47,25,0,0,0,13,0,0,0,0,13,0,0,0,0,10,7,9,4,0,8,48,27,8,3,0,29,0,0,0,0,46,0,0,28,2,2,29,0,6,6,11,9,0,0,0,0,0,0,0,0,0,21,0,0,3,0,9,0,4,7,0,1,0,0,15,0,1,11,15,0,0,0,0,2,0,0,0,23,0,9,0,8,0,0,0,29,0,19,18,20,12,0,18,0,3,0,16,5,46,13,0,6,3,0,0,3,36,0,0,26,20,8,0,9,0,3,0,24,4,34,5,18,0,2,1,0,7,30,0,0,7,30,7,0,11,0,7,0,1,0,27,7,25,0,0,0
2272,0.03752566874173169,0.0052679304270270705,-0.7319844231323858,0.9623322208248584,200.17834499873987,292.6726184430844,5,2,18,21,0,0,0,0,13,0,11,0,17,0,6,19,27,0,0,0,0,16,0,18,24,0,20,28,0,6,0,32,29,26,10,11,21,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,11,0,0,6,22,0,0,0,0,16,0,10,0,0,0,0,0,0,0,12,0,2,12,0,13,29,0,0,0,0,15,0,0,0,40,32,4,5,0,28,2,10,0,0,0,0,15,16,0,0,0,0,0,3,3,55,35,33,15,15,35,27,8,0,0,8,0,34,19,0,0,0,0,0,0,0,32,26,0,0,0,1,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,16,26,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,19,0,0,20,17,11,33,0,0,15,25,3,16,6,8,9,4,13,12,5,0,25,28,0,36,16,27,51,0,25,22,50,0,0,3,0,0,4,0,0,0,0,3,6,0,0,18,3,20,0,0,4,20,0,5,0,0,0,2,0,0,0,0,0,0,0,5,0,0,25,0,0,11,19,0,0,0,0,0,1,7,0
2420,-0.0352160374819413,0.04081888452744967,-0.767200460614327,1.0031511053523081,202.26832202742145,286.52987807635816,1,19,0,0,13,40,15,4,3,0,29,15,13,8,0,0,0,0,0,0,0,0,24,11,5,22,19,0,0,0,0,16,26,26,20,1,0,0,0,0,0,0,227,186,0,0,0,36,21,17,13,10,21,12,1,35,0,0,0,0,0,9,0,0,30,0,0,0,10,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,14,10,0,21,18,18,12,42,2,4,16,28,0,0,0,16,8,0,0,0,16,0,37,0,15,11,7,13,10,6,0,25,21,0,0,4,28,0,4,18,0,14,0,33,0,10,12,0,14,33,10,7,29,23,9,0,13,3,0,0,0,0,0,28,49,0,34,0,0,3,7,0,0,0,6,0,0,0,0,0,0,21,0,0,3,34,21,4,5,37,15,0,14,0,15,0,14,17,1,0,0,6,37,0,0,0,3,13,6,0,31,9,0,12,0,15,0,23,0,8,0,11,27,17,0,0,0,0,20,6,0,13,3,0,12,4,19,0,12,20,14,15,3,8,29,12,0,0,0,16,19,0,32,0,0,0,0,4,0,1,0,0,0,0,28,23,5,0,0,0
2646,0.08805024255714197,-0.041851152511356196,-0.7213938108122888,0.9582255988678382,197.88393820124455,294.6858658866553,2,20,4,20,17,30,18,16,2,16,39,6,0,11,15,0,31,24,3,18,12,29,1,0,6,16,10,13,15,0,5,20,20,16,0,30,0,12,1,7,24,0,15,4,0,15,0,20,0,7,0,25,1,15,0,0,33,0,36,43,23,13,22,27,67,0,2,0,10,0,0,0,13,1,0,0,0,3,0,16,2,0,0,10,28,18,28,4,20,9,40,0,18,0,13,18,8,0,1,24,13,0,11,2,0,15,9,29,4,18,25,34,12,13,0,36,33,0,13,33,9,10,0,0,0,0,38,34,31,8,0,0,10,0,0,0,0,29,0,11,47,19,0,4,19,7,0,22,27,17,8,3,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,21,0,0,15,4,5,0,8,0,27,1,20,28,8,26,0,17,8,12,12,38,8,0,0,4,4,38,4,5,25,25,15,14,22,0,15,4,8,4,0,8,30,32,0,6,9,0,0,0,0,0,7,2,0,24,0,26,0,18,26,6,11,49,0,0,16,0,0,0,0,10,0,29,0,0,12,0,3,0,0,5,0,0,31,13,0
2909,0.011860452222654208,0.0956532578031492,-0.7095333585896346,1.0538788566709874,175.27803077285338,298.0164897401962,1,19,15,0,0,0,0,0,19,21,22,0,0,9,3,10,0,0,0,24,0,7,0,19,0,0,0,14,0,0,0,23,0,0,0,9,0,0,0,0,0,0,193,0,46,0,0,0,1,7,16,7,25,0,0,0,0,0,0,0,0,0,0,18,0,19,0,2,0,15,0,6,8,32,0,12,0,0,0,0,0,0,0,0,23,0,10,14,0,0,20,12,0,14,25,0,19,0,14,0,22,17,0,7,2,0,33,0,12,0,9,10,6,0,0,0,0,28,0,21,0,13,0,9,11,0,0,3,0,0,0,16,17,12,12,10,6,0,4,0,0,0,0,0,1,0,0,0,5,0,7,7,25,12,35,8,0,13,0,15,0,2,0,0,5,13,9,0,0,15,25,0,3,0,9,31,0,0,0,0,0,0,5,12,18,5,16,3,0,8,20,25,0,0,0,4,27,0,0,0,0,0,0,2,0,3,0,9,15,0,12,7,12,4,2,0,13,34,0,0,0,0,0,0,0,5,16,0,6,0,0,0,0,11,0,2,0,4,29,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0
3053,0.018979994976403458,-0.011558853503689584,-0.6905533636132312,1.0423200031672977,171.90212345439912,301.3089929682435,1,17,2,0,34,0,16,0,13,18,0,1,19,17,0,0,0,1,26,0,1,0,23,2,0,14,0,15,0,16,40,0,0,0,0,0,0,0,5,8,61,20,0,0,13,0,0,0,0,0,7,19,0,0,5,22,0,0,0,0,8,25,2,0,0,16,0,0,0,0,0,28,50,0,0,1,9,8,0,0,2,22,0,6,0,47,7,0,0,5,0,0,0,21,0,10,0,26,0,0,22,29,23,29,0,8,7,18,0,0,10,0,0,0,6,0,0,0,0,0,0,13,7,11,0,42,0,0,0,0,0,13,0,0,0,14,0,27,0,10,1,0,0,4,21,20,13,0,0,20,0,0,0,0,0,0,33,0,22,0,22,0,1,4,0,5,13,0,0,0,6,24,0,0,17,0,0,16,22,0,0,1,0,0,15,10,0,6,19,36,13,10,18,10,0,16,0,16,15,36,8,0,0,0,0,0,16,0,3,16,30,4,0,0,6,0,6,0,4,13,8,0,6,0,0,0,10,17,0,26,17,31,0,0,0,0,0,8,0,0,8,27,0,7,2,0,5,25,9,0,22,10,39,3
3319,0.08597943186552737,-0.014338387710436551,-0.678484329965394,0.9454935356026148,187.59995901339906,302.71055360949765,8,4,0,0,0,41,0,0,8,21,23,10,10,0,28,6,0,8,26,20,0,0,5,0,0,0,49,0,0,0,0,5,0,6,0,0,0,8,0,19,0,0,0,0,0,0,2,10,0,0,0,0,10,0,0,0,23,0,0,0,9,0,0,7,0,0,0,0,37,0,2,0,4,6,0,2,0,17,0,0,10,33,21,0,5,3,0,0,0,0,0,0,12,19,0,0,0,24,30,8,22,0,9,0,4,1,0,0,0,0,0,0,0,19,3,0,0,0,0,8,0,0,0,8,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,15,0,0,9,16,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,4,2,0,0,15,15,0,7,15,7,5,52,16,7,5,0,0,14,14,0,0,6,0,0,16,0,22,0,0,10,4,0,28,23,0,0,9,0,0,13,0,0,10,0,0,6,0,6,0,0,19,8,0,17,0,0,0,0,0,3,13,0,0,9,0,0,14,0,16,0,6,2,25,0,18,2,0,0,11,0,2,0,0,0,5,0,0,14,15,19,14
4655,-0.07384139346208249,-0.06120966686930369,-0.2856251856901061,1.2431207767323802,4.269810710233372,325.16029718922266,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,13,4,3,27,0,24,0,0,8,0,0,36,18,1,0,0,0,0,0,28,0,10,0,0,10,0,6,12,0,0,0,0,36,26,10,0,0,14,13,0,26,9,19,0,0,7,0,0,0,0,0,0,0,47,26,13,0,13,16,0,0,28,7,3,20,0,0,0,0,0,1,0,10,22,9,3,0,22,9,0,0,0,35,18,7,0,0,4,7,7,0,22,0,31,0,10,9,0,6,0,0,0,0,54,36,0,0,0,0,10,0,0,16,0,14,0,35,22,0,31,15,0,0,1,43,24,19,8,0,11,9,0,1,20,0,32,25,15,26,0,14,5,5,0,0,32,12,7,0,0,0,12,7,2,0,0,0,17,1,0,0,0,0,14,0,21,27,8,21,12,0,0,13,27,11,0,0,20,12,0,0,0,0,4,24,0,3,23,10,1,0,7,0,4,10,15,0,0,4,18,15,0,0,12,0,20,0,11,3,6,15,0,0,0,19,21,5,14,0,4,17,6,0,0,1,0,25,0,22
5036,-0.04613928906106691,-0.06266221397480282,-0.1667874394065632,0.9476964497208871,14.946363787028076,355.61359542454016,1,0,13,0,0,0,6,0,0,0,0,0,0,1,3,4,0,1,0,0,0,0,0,48,0,7,25,14,0,0,1,0,0,0,8,0,0,0,28,0,0,0,0,0,0,0,11,11,28,6,0,0,0,13,0,0,0,0,0,1,4,0,4,6,0,16,0,5,38,34,0,4,0,0,0,0,7,5,7,9,11,1,14,15,0,0,0,0,0,0,0,0,9,0,0,11,29,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,18,25,7,1,24,6,16,10,0,6,0,6,8,12,0,0,10,6,8,6,7,3,33,11,9,22,0,4,0,0,11,0,0,8,17,0,0,9,19,22,0,0,28,20,38,15,47,12,0,0,0,35,0,0,0,0,0,9,0,0,0,0,1,25,9,7,0,6,0,0,25,0,17,0,0,0,0,0,0,0,0,0,0,0,11,19,0,0,10,0,15,0,0,0,0,0,0,0,0,12,0,16,0,0,0,25,9,6,0,6,0,0,4,0,0,0,5,0,0,0,6,0,25,0,0,7,19,5,20,0,32,0,0,13,0,12,0,0
