Time,actionAngle1,actionAngle2,jointAngle1,jointAngle2,pos_x,pos_y,touch_id_row,touch_id_col,touch
2538,-0.00902271748902582,0.03271033426079034,-0.7850672413198281,1.1149820949187406,185.44653850045796,304.5432887285438,7,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,8,0,6,0,0,8,4,0,11,0,0,0,0,9,0,0,19,0,0,1,0,0,0,0,0,15,16,0,0,14,0,0,0,0,25,0,1,16,0,0,0,0,0,0,13,0,0,0,11,4,10,0,6,0,10,17,0,0,25,2,0,0,0,8,17,27,0,0,0,0,0,0,0,0,0,3,0,0,19,18,0,17,0,15,0,22,35,6,9,24,2,0,4,0,11,2,19,5,0,9,32,0,19,0,0,5,3,19,0,9,27,9,0,0,0,0,0,12,0,0,28,18,0,8,0,13,3,25,46,0,11,19,1,0,32,0,11,5,20,0,0,29,35,0,14,5,27,36,12,13,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,34,16,14,13,9,4,2,0,11,12,11,15,18,5,7,23,22,18,16,8,0,26,0,22,11,46,11,11,0,7,0,0,1,10,0,5,14,17,0,3,0,0,36,0,42,8,8,0,2,0,3,16,0,2,5,0,6,8,13,18,25,0,0,38,0
2949,0.014533128586345687,0.09633404316015526,-0.7006799801844806,1.1958718793034335,141.42590070686416,317.21366692586406,6,2,0,0,1,0,7,0,0,14,0,2,11,0,0,2,0,0,0,0,0,0,0,0,3,0,18,0,0,0,13,0,8,22,0,0,8,10,0,14,0,0,0,1,17,0,5,15,4,0,0,17,0,8,13,0,0,15,0,0,0,0,10,0,9,0,8,0,15,7,0,0,11,0,0,0,0,0,14,7,0,0,0,0,15,13,5,0,7,0,0,0,0,0,0,0,0,17,0,0,30,0,0,0,0,0,0,1,0,14,0,0,12,4,0,0,0,0,21,0,0,31,8,17,0,0,0,5,18,0,34,0,0,3,5,0,0,2,6,7,0,0,26,0,7,8,0,0,0,10,0,12,0,0,12,11,0,0,0,0,0,0,0,27,0,17,0,0,0,0,0,10,2,15,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,0,5,0,3,0,4,0,0,0,0,0,9,0,0,0,18,10,2,2,8,14,6,2,0,19,4,8,0,0,0,0,0,0,0,6,0,29,5,0,0,0,7,0,18,0,10,0,0,0,0,0,0,0,8,0,0,0,8,2,0,0,0,13,9,0
3335,-0.0751366701725686,-0.06822250130162241,-0.7758166503570493,1.127649378001811,179.8346727737878,306.2556637999237,1,16,0,0,0,0,0,10,0,31,0,17,15,0,0,17,0,0,69,0,0,0,0,0,2,0,0,1,8,0,29,3,15,10,27,29,11,0,0,185,23,0,0,24,11,5,7,29,13,21,0,39,8,42,6,9,4,18,22,0,23,37,33,0,40,25,0,5,20,0,8,0,7,0,0,25,0,0,13,18,0,22,28,24,0,6,0,0,0,1,0,0,0,0,17,0,23,0,0,1,0,0,0,0,0,0,0,0,5,33,20,0,0,2,0,15,0,14,26,13,6,0,2,0,0,1,0,0,0,11,17,22,5,1,9,8,9,0,48,12,25,0,0,0,7,0,0,10,10,0,6,24,20,0,0,0,0,4,0,15,5,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,6,7,0,8,0,0,0,0,0,0,8,0,0,0,3,4,26,0,0,0,2,18,7,0,11,0,32,0,2,0,0,12,6,0,0,20,0,23,10,8,0,12,11,1,1,29,0,15,8,6,3,15,31,8,0,0,10,14,26,4,0,2,0,0,1,0,4,0,1,0,0,0,0,14,4,0
3528,-0.031027632906401134,0.0819414499491598,-0.8068442832634504,1.2095908279509708,171.228358373509,300.30025449736956,0,17,0,19,0,0,5,16,0,13,0,0,6,12,0,25,0,0,0,144,0,0,0,0,27,13,0,13,0,0,15,0,0,16,0,6,0,0,0,0,75,0,0,8,0,32,12,0,20,13,0,17,0,8,17,32,0,21,6,3,0,0,2,0,9,0,12,2,0,13,9,0,0,21,5,22,12,0,20,0,0,0,0,0,0,0,0,27,28,5,7,6,0,0,2,11,0,7,0,12,19,9,4,0,0,9,0,1,31,21,19,5,17,0,9,0,0,0,21,0,15,10,13,0,11,19,44,4,0,34,5,0,8,17,0,3,16,2,0,12,0,21,15,15,24,0,2,29,0,0,34,19,0,17,3,0,0,8,0,0,5,0,9,23,0,0,0,0,13,0,0,0,1,0,0,9,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,8,0,36,0,6,16,5,17,9,18,0,3,0,0,0,0,6,20,22,0,6,3,8,0,0,0,1,3,26,19,9,0,0,0,12,0,0,18,19,6,8,0,4,1,7,0,0,0,0,0,0,5,0,0,0,16,0,0,15,0,8,0,0
3755,-0.09395119602571238,0.059810632604838015,-0.9007954792891627,1.2694014605558088,185.48962164087317,283.0487925690261,2,17,0,16,0,0,4,33,0,0,0,0,7,11,5,0,0,0,0,0,0,0,9,0,8,29,13,43,52,36,0,4,23,27,9,13,0,0,0,0,165,0,1,43,34,29,8,0,20,31,28,0,29,14,9,27,22,0,1,41,9,175,0,0,33,0,10,0,0,16,39,9,0,11,0,0,0,0,0,12,19,0,8,0,0,33,0,4,0,0,0,0,0,0,7,0,12,0,4,0,0,0,7,0,0,0,0,2,21,15,15,0,24,27,39,35,0,33,0,4,10,0,1,15,6,8,15,1,1,5,5,0,0,0,22,4,30,0,5,7,5,1,1,8,10,0,3,7,13,0,5,5,0,0,3,20,0,7,0,0,0,0,0,0,6,9,0,0,5,12,13,20,4,0,6,0,24,0,11,0,0,6,0,0,0,15,0,0,0,17,0,23,29,22,0,36,13,45,6,19,0,39,0,0,7,4,18,0,6,12,37,26,19,32,15,0,1,16,39,16,40,1,0,0,0,6,0,38,0,9,12,12,31,3,33,28,0,0,4,30,0,21,0,0,0,0,0,0,2,0,0,0,12,29
4061,0.07019678030009291,0.030665558836134754,-0.8305986989890698,1.3000670193919435,158.47104566346565,294.6542749886131,3,18,0,13,0,0,8,3,16,5,24,0,0,0,2,13,27,0,0,0,0,0,0,1,10,11,5,15,30,16,16,19,11,0,0,3,4,1,0,0,0,0,2,13,7,17,4,0,0,0,0,0,0,8,0,0,0,4,5,0,0,0,62,0,4,0,9,0,0,34,0,37,30,28,12,0,4,13,5,32,0,4,29,188,0,11,0,2,0,10,9,0,4,7,0,0,0,0,0,26,0,0,3,0,0,0,9,0,0,15,9,15,0,18,27,0,0,0,0,19,11,0,9,3,0,6,0,13,0,0,0,1,0,0,0,4,0,0,0,0,0,10,0,0,0,0,8,0,7,0,0,0,15,26,0,9,13,0,0,1,6,0,14,0,4,10,0,14,0,5,0,0,4,0,14,20,0,0,0,2,0,0,17,14,18,7,0,0,41,0,0,0,5,13,22,7,24,0,0,0,5,0,0,33,0,18,15,1,0,47,0,0,0,7,0,0,0,3,0,0,0,0,0,0,9,0,19,7,2,0,54,0,5,0,11,0,6,0,43,0,10,0,9,0,0,54,2,3,34,7,0,39,0,0
4267,0.028280139008520916,-0.07984638738538177,-0.8023185599805489,1.2202206320065616,167.53370409687417,300.92366098143884,2,16,2,0,15,0,0,0,17,25,0,15,0,1,17,0,0,4,0,10,4,48,0,4,0,7,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,9,9,28,0,0,0,0,9,0,0,14,204,0,0,0,0,14,0,2,0,0,0,20,39,4,19,23,0,1,0,0,0,104,0,0,9,0,0,22,0,8,14,0,7,25,0,0,45,26,17,0,37,39,45,28,0,30,17,0,17,0,0,0,0,0,0,0,0,32,0,0,0,0,3,0,0,0,25,9,0,0,0,18,0,0,0,0,0,0,25,1,0,8,0,25,21,28,10,24,16,2,9,0,15,0,3,0,0,0,0,38,28,2,0,9,8,37,34,4,47,15,8,0,0,0,9,19,0,28,7,33,23,6,12,46,37,28,37,30,10,8,32,12,0,0,0,0,0,0,24,5,0,0,0,0,27,0,0,0,0,0,0,5,8,0,0,0,18,18,0,41,25,27,0,0,25,22,0,24,35,29,0,6,0,20,0,0,0,13,10,0,36,21,31,35,0,0,29,28,31,18,34,8,4,0
4431,-0.007842200627035598,-0.02609580861805537,-0.8101607606075845,1.1941248233885062,175.62274955272824,299.87573728895205,2,16,17,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,47,0,9,0,0,0,0,0,2,0,13,0,0,0,0,0,87,0,10,0,0,18,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,151,8,0,0,0,22,0,23,6,8,0,4,0,0,0,6,10,0,0,0,0,0,0,0,0,0,39,30,0,0,5,0,0,29,0,0,0,23,0,0,10,0,0,43,21,0,0,23,12,0,0,6,0,0,24,0,0,0,0,0,0,21,0,13,33,16,1,30,24,20,4,0,0,0,0,35,0,0,0,0,0,0,8,0,0,20,17,23,0,6,11,4,0,5,0,2,42,0,9,0,7,9,0,11,0,5,40,31,15,15,0,2,20,29,0,0,18,7,0,0,2,0,0,0,0,4,0,10,0,0,25,0,0,4,3,0,0,21,19,0,0,18,7,0,0,0,0,0,0,0,0,6,0,0,22,25,0,0,1,0,0,17,6,12,0,0,0,0,0,6,0,0,17,0,0,6,14,0,0,20,13,0,5,33,22,0,0,15,0,0,15,0,0,8
4725,-0.08729580664992215,0.011366676747863888,-0.8974565672575066,1.2054915001363702,198.6007339992652,283.5389612412089,1,17,3,0,0,2,0,13,7,0,0,0,0,0,0,0,0,0,0,0,22,6,24,0,2,0,5,0,4,0,0,11,16,8,0,11,0,11,2,0,223,117,18,13,11,3,0,1,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,15,6,1,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,26,0,9,16,33,3,1,0,0,0,21,4,0,0,0,0,0,0,0,0,0,12,3,43,22,14,0,4,33,7,10,14,15,0,0,13,0,1,0,0,0,0,8,0,19,10,24,0,2,14,0,0,10,0,0,0,0,0,0,0,0,0,0,12,0,8,13,18,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,23,0,5,31,23,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,20,42,26,20,12,0,22,11,17,4,0,31,0,0,0,0,0,0,0,38,0,21,38,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,25,0,5,23,13,1,6,0,0,0,0,4,0,0,0,0,0,0
4897,-0.008127197818396645,0.060001880264456436,-0.9055837650759032,1.2654933804008266,187.70251523201466,282.1683767832739,2,19,4,0,0,0,0,0,23,0,0,0,26,9,22,35,40,0,25,0,21,4,0,0,0,0,0,0,0,4,0,0,0,24,0,11,26,50,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,18,0,16,49,20,0,0,0,0,149,99,0,6,0,4,4,16,22,0,10,0,22,2,1,32,16,11,0,0,0,0,0,0,0,24,8,14,23,0,0,23,10,10,5,0,4,0,9,19,0,3,0,9,0,0,11,0,18,0,0,0,0,0,0,6,0,12,16,7,0,0,0,0,3,0,0,14,0,7,24,11,0,2,0,16,0,0,0,0,0,2,0,0,0,3,0,0,9,26,17,20,3,0,0,0,20,22,5,34,20,7,8,13,0,0,7,0,0,37,0,0,0,0,0,0,0,14,24,14,0,0,32,0,2,2,33,0,0,0,23,0,0,0,0,0,0,0,0,28,0,0,2,23,0,6,0,0,0,8,0,19,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,29,20,27,0,0,0,0,0,17,14,25,0,15,28,17,0,25,0,2
