SampledPos_x,SampledPos_y,ObservationPre_LinID,ObservationPre_row,ObservationPre_col,Action,ReachedPos_x,ReachedPos_y,ObservationPost_LinID,ObservationPost_row,ObservationPost_col,discrTouch,Loss
114.30669784936846,282.81338785533325,11,1,4,2,125.70926715031923,256.3914493883667,18,2,4,217,1.8535884618759155
125.70926715031923,256.3914493883667,18,2,4,3,158.0996065496951,237.78963302837516,19,2,5,217,1.9076495170593262
158.0996065496951,237.78963302837516,19,2,5,0,150.24334282897436,265.47386210136256,12,1,5,189,1.7700767517089844
150.24334282897436,265.47386210136256,12,1,5,3,183.60928255745233,243.59200496357758,20,2,6,178,1.7165563106536865
183.60928255745233,243.59200496357758,20,2,6,0,175.7530188367316,271.276234036565,12,1,5,109,1.3834214210510254
175.7530188367316,271.276234036565,12,1,5,2,183.60928255745233,243.59200496357758,20,2,6,109,1.1370408535003662
183.60928255745233,243.59200496357758,20,2,6,1,150.24334282897436,265.47386210136256,12,1,5,155,0.9260382056236267
150.24334282897436,265.47386210136256,12,1,5,1,114.30669784936846,282.81338785533325,11,1,4,155,1.5474162101745605
114.30669784936846,282.81338785533325,11,1,4,1,76.41423357775601,295.3138981324146,9,1,2,146,1.8577977418899536
126.9529585551421,278.35669696474423,11,1,4,0,113.22299340129557,303.6475149801686,3,0,3,167,1.7706941366195679
113.22299340129557,303.6475149801686,3,0,3,3,151.88830890451777,286.27120219558816,12,1,5,167,1.395393967628479
151.88830890451777,286.27120219558816,5,0,5,2,162.19969812945678,259.4046305634099,12,1,5,172,1.6591891050338745
162.19969812945678,259.4046305634099,12,1,5,0,151.88830890451777,286.27120219558816,12,1,5,172,0.009042846970260143
151.88830890451777,286.27120219558816,12,1,5,2,162.19969812945678,259.4046305634099,12,1,5,167,0.009251570329070091
162.19969812945678,259.4046305634099,12,1,5,1,126.9529585551421,278.35669696474423,11,1,4,167,1.0700316429138184
126.9529585551421,278.35669696474423,11,1,4,1,89.53401866193914,292.5460031059553,10,1,3,93,1.7316522598266602
89.53401866193914,292.5460031059553,10,1,3,2,103.26398381578565,267.255185090531,17,2,3,93,1.7451889514923096
176.97360331195233,309.21631956196313,5,0,5,2,189.65928588902594,283.3858941576287,6,0,6,155,2.1451363563537598
189.65928588902594,283.3858941576287,6,0,6,1,151.0474427132313,305.7169929546722,4,0,4,204,1.8041714429855347
151.0474427132313,305.7169929546722,4,0,4,3,189.65928588902594,283.3858941576287,6,0,6,153,1.4572547674179077
189.65928588902594,283.3858941576287,6,0,6,0,176.97360331195233,309.21631956196313,5,0,5,153,1.6495260000228882
176.97360331195233,309.21631956196313,5,0,5,2,189.65928588902594,283.3858941576287,6,0,6,198,1.2738343477249146
189.65928588902594,283.3858941576287,6,0,6,0,176.97360331195233,309.21631956196313,5,0,5,159,1.0631957054138184
176.97360331195233,309.21631956196313,5,0,5,2,189.65928588902594,283.3858941576287,6,0,6,159,0.8143526315689087
189.65928588902594,283.3858941576287,6,0,6,1,151.0474427132313,305.7169929546722,4,0,4,131,1.0459189414978027
108.06988584084525,249.14298182489523,18,2,4,3,139.66501772211345,232.9055783851798,25,3,4,146,1.806753396987915
139.66501772211345,232.9055783851798,25,3,4,1,108.06988584084525,249.1429818248952,18,2,4,156,1.4937334060668945
108.06988584084525,249.1429818248952,18,2,4,3,139.66501772211345,232.9055783851798,19,2,5,165,1.3729201555252075
139.66501772211345,232.9055783851798,19,2,5,1,108.06988584084525,249.1429818248952,18,2,4,226,1.1413578987121582
108.06988584084525,249.1429818248952,18,2,4,3,139.66501772211345,232.9055783851798,19,2,5,224,0.8778976798057556
139.66501772211345,232.9055783851798,19,2,5,2,167.82731720800393,238.82354312672442,19,2,5,122,0.010779649950563908
84.24589773953973,287.35685368665827,10,1,3,0,67.53015992243355,310.7816595181891,9,1,2,101,1.6981123685836792
67.53015992243355,310.7816595181891,9,1,2,0,47.899876850908,331.824221281124,1,0,1,155,1.747439980506897
47.899876850908,331.824221281124,1,0,1,3,90.80183885447994,322.7332305353781,2,0,2,209,1.7910614013671875
90.80183885447994,322.7332305353781,2,0,2,3,132.150156220226,308.12018473661595,4,0,4,152,1.6297491788864136
132.150156220226,308.12018473661595,4,0,4,3,171.23734777409865,288.235117149956,5,0,5,152,1.1917966604232788
171.23734777409865,288.235117149956,5,0,5,2,181.3207247600896,261.28214092146607,13,1,6,157,1.774625539779663
181.3207247600896,261.28214092146607,13,1,6,1,145.66533787438402,282.71393975884985,12,1,5,190,1.297338604927063
145.66533787438402,282.71393975884985,12,1,5,2,155.74871486037497,255.76096353035996,12,1,5,232,0.011027916334569454
155.74871486037497,255.76096353035996,12,1,5,1,121.03275832574414,273.9021797260813,11,1,4,218,0.8155417442321777
121.03275832574414,273.9021797260813,11,1,4,2,131.1161353117351,246.94920349759136,18,2,4,218,0.9529279470443726
72.39835099719267,265.5410603941521,16,2,2,1,37.11890957678074,272.7192008902091,16,2,2,96,0.009214449673891068
37.11890957678074,272.7192008902091,16,2,2,1,1.2043533222041276,275.23104024698733,22,3,1,105,2.2233285903930664
1.2043533222041276,275.23104024698733,22,3,1,3,37.11890957678074,272.7192008902091,16,2,2,105,1.79984712600708
37.11890957678074,272.7192008902091,16,2,2,3,72.39835099719267,265.5410603941521,17,2,3,231,1.750457763671875
72.39835099719267,265.5410603941521,17,2,3,1,37.11890957678074,272.7192008902091,15,2,1,246,1.6921794414520264
37.11890957678074,272.7192008902091,15,2,1,1,1.2043533222041276,275.23104024698733,22,3,1,246,1.6146718263626099
1.2043533222041276,275.23104024698733,22,3,1,3,37.11890957678074,272.7192008902091,16,2,2,148,1.3271461725234985
37.11890957678074,272.7192008902091,16,2,2,3,72.39835099719267,265.5410603941521,16,2,2,148,0.010383856482803822
72.39835099719267,265.5410603941521,16,2,2,2,98.0436159974554,278.597009309549,10,1,3,188,1.5980485677719116
98.0436159974554,278.597009309549,10,1,3,3,133.56904606025392,263.4163134064312,11,1,4,119,1.1754041910171509
133.80424398025232,299.117083588351,4,0,4,2,146.2231802494165,273.15735629861257,11,1,4,152,1.0293947458267212
146.2231802494165,273.15735629861257,11,1,4,0,133.80424398025232,299.117083588351,4,0,4,208,0.8166429400444031
118.10312907826017,323.23372534979023,3,0,3,1,74.90227306979887,335.8839677486216,2,0,2,108,1.6883617639541626
74.90227306979887,335.8839677486216,2,0,2,1,30.419818402279887,342.78714233464495,1,0,1,109,1.3309800624847412
30.419818402279887,342.78714233464495,1,0,1,2,51.82777697942153,323.5560027798879,1,0,1,109,0.010332176461815834
51.82777697942153,323.5560027798879,1,0,1,0,30.419818402279887,342.78714233464495,1,0,1,196,0.008644484914839268
30.419818402279887,342.78714233464495,1,0,1,3,74.90227306979887,335.8839677486216,2,0,2,141,1.058828353881836
61.536076589950085,305.9192573717096,9,1,2,1,21.079151132696097,311.3341454779213,8,1,1,140,1.764168620109558
21.079151132696097,311.3341454779213,8,1,1,3,61.536076589950085,305.9192573717096,9,1,2,198,1.4075257778167725
61.536076589950085,305.9192573717096,9,1,2,0,37.128517997048505,290.6743073045814,15,2,1,153,1.4674944877624512
37.128517997048505,290.6743073045814,15,2,1,3,74.75148888726696,283.34130423359073,17,2,3,87,1.2314019203186035
74.75148888726696,283.34130423359073,17,2,3,0,50.34393029436538,268.09635416646256,16,2,2,87,1.186218023300171
50.34393029436538,268.09635416646256,16,2,2,2,74.75148888726696,283.34130423359073,17,2,3,114,0.9228218793869019
74.75148888726696,283.34130423359073,17,2,3,3,111.09544107759606,271.16025289011253,11,1,4,96,0.8222475647926331
111.09544107759606,271.16025289011253,11,1,4,3,145.53851946961223,254.33957443985926,19,2,5,96,0.880810558795929
145.53851946961223,254.33957443985926,19,2,5,1,111.09544107759606,271.1602528901125,18,2,4,168,0.6063752174377441
111.09544107759606,271.1602528901125,18,2,4,2,138.61701569815307,279.5686028721403,11,1,4,168,0.6079263687133789
26.409065873403108,345.8923130140164,0,0,0,3,71.3311391897737,339.48608151790427,2,0,2,98,1.5807987451553345
71.3311391897737,339.48608151790427,2,0,2,3,115.03271693787917,327.27114904369705,3,0,3,98,1.212692141532898
115.03271693787917,327.27114904369705,3,0,3,1,71.3311391897737,339.48608151790427,2,0,2,83,0.9469925165176392
71.3311391897737,339.48608151790427,2,0,2,0,45.119642608811546,327.6077455232727,1,0,1,83,0.7591280937194824
112.41027011704166,305.19125660802763,3,0,3,1,71.61313204928447,317.2527876250499,2,0,2,189,0.750112771987915
102.64583799798197,268.9273163214002,17,2,3,1,66.66563004111816,280.02457623101435,16,2,2,182,0.7744845151901245
9.56986040723939,307.04625711191636,7,1,0,2,29.544754671046206,286.33053800383584,15,2,1,165,1.5198308229446411
-1.4769716748245116,290.9670528349885,14,2,0,3,36.514485490642244,288.67057285106307,15,2,1,171,1.6117475032806396
36.514485490642244,288.67057285106307,15,2,1,3,73.88116968563605,281.4348593310528,17,2,3,182,0.7631700038909912
109.98372658357849,269.3837173394039,17,2,3,2,120.14108317274489,242.45853347493102,25,3,4,106,1.2655935287475586
120.14108317274489,242.45853347493102,25,3,4,0,109.98372658357849,269.3837173394039,18,2,4,106,0.9119195938110352
109.98372658357849,269.3837173394039,18,2,4,1,73.88116968563605,281.4348593310528,16,2,2,107,0.9701470136642456
73.88116968563605,281.4348593310528,16,2,2,3,109.98372658357849,269.3837173394039,17,2,3,107,0.5167273283004761
109.98372658357849,269.3837173394039,17,2,3,0,96.39882586345368,294.75275144477547,10,1,3,97,0.9103273749351501
127.99147461096192,322.6948785987966,4,0,4,0,100.13740949494984,315.46380153323355,3,0,3,122,1.1512799263000488
100.13740949494984,315.46380153323355,3,0,3,1,58.104431277657994,325.83551973972783,2,0,2,168,0.512939989566803
58.104431277657994,325.83551973972783,2,0,2,1,15.077270131613645,330.63210186480234,0,0,0,98,1.1794060468673706
15.077270131613645,330.63210186480234,0,0,0,2,40.11069053313531,344.82594848986594,1,0,1,98,1.3085662126541138
40.11069053313531,344.82594848986594,1,0,1,3,84.77635605028193,336.6404189960208,2,0,2,127,0.49955490231513977
84.77635605028193,336.6404189960208,2,0,2,0,58.104431277657994,325.83551973972783,2,0,2,127,0.008050089702010155
58.104431277657994,325.83551973972783,2,0,2,1,15.077270131613645,330.63210186480234,0,0,0,176,0.9033433794975281
15.077270131613645,330.63210186480234,0,0,0,3,58.104431277657994,325.83551973972783,2,0,2,189,0.7270874977111816
