SampledPos_x,SampledPos_y,ObservationPre_row,ObservationPre_col,Action,ReachedPos_x,ReachedPos_y,ObservationPost_row,ObservationPost_col,discrTouch
72.65306122448979,314.4271284271284,3,8,1,82.65306122448979,314.4271284271284,3,9,210
94.16326530612245,282.1471861471861,6,11,0,94.16326530612245,292.1471861471861,5,10,32
55.36734693877551,281.2049062049062,7,8,1,65.36734693877551,281.2049062049062,7,8,116
27.367346938775512,288.2756132756133,8,6,1,37.36734693877551,288.2756132756133,7,6,118
121.53061224489795,295.37229437229433,4,13,2,121.53061224489795,285.37229437229433,5,13,139
64.42857142857143,315.16161616161617,4,8,3,54.42857142857143,315.16161616161617,4,6,86
62.224489795918366,260.67965367965365,9,9,1,72.22448979591837,260.67965367965365,9,10,197
56.61224489795919,294.3145743145743,6,7,0,56.61224489795919,304.3145743145743,5,8,156
114.46938775510205,260.9105339105339,8,14,0,114.46938775510205,270.9105339105339,6,13,103
91.6734693877551,255.92784992784993,9,11,1,101.6734693877551,255.92784992784993,8,12,121
113.75510204081633,298.6782106782107,4,12,1,123.75510204081633,298.6782106782107,0,3,27
104.18367346938776,291.69841269841265,5,11,3,94.18367346938776,291.69841269841265,5,11,101
84.63265306122449,299.3203463203463,4,10,1,94.63265306122449,299.3203463203463,4,10,179
106.77551020408163,312.5223665223665,2,11,2,106.77551020408163,302.5223665223665,3,12,88
74.6734693877551,260.2207792207792,9,11,3,64.6734693877551,260.2207792207792,10,9,136
107.08163265306122,296.33621933621936,4,12,1,117.08163265306122,296.33621933621936,4,13,239
76.0,255.85858585858585,10,11,0,76.0,265.85858585858585,9,10,108
115.46938775510205,260.65800865800867,7,13,2,115.46938775510205,250.65800865800867,9,13,202
34.755102040816325,318.62770562770567,10,7,0,34.755102040816325,328.62770562770567,3,4,35
111.71428571428571,275.030303030303,6,12,2,111.71428571428571,265.030303030303,7,13,84
48.57142857142857,272.1818181818182,0,6,3,38.57142857142857,272.1818181818182,9,7,39
54.20408163265306,316.40115440115443,4,6,1,64.20408163265306,316.40115440115443,3,7,151
57.265306122448976,286.09523809523813,7,8,3,47.265306122448976,286.09523809523813,7,7,200
85.83673469387755,288.27705627705626,6,10,1,95.83673469387755,288.27705627705626,5,11,96
85.61224489795919,286.991341991342,6,10,1,95.61224489795919,286.991341991342,5,11,133
26.73469387755102,308.57142857142856,5,5,1,36.734693877551024,308.57142857142856,5,6,49
41.02040816326531,276.77344877344876,9,7,0,41.02040816326531,286.77344877344876,7,7,172
45.48979591836735,290.4112554112554,7,7,2,45.48979591836735,280.4112554112554,8,7,121
31.73469387755102,307.3088023088023,5,5,0,31.73469387755102,317.3088023088023,4,5,178
33.12244897959184,273.39826839826844,9,6,0,33.12244897959184,283.39826839826844,8,6,96
32.10204081632653,327.3520923520923,3,5,1,42.10204081632653,327.3520923520923,3,5,186
44.53061224489796,314.8167388167388,6,8,3,34.53061224489796,314.8167388167388,5,5,31
81.65306122448979,312.15440115440117,3,9,3,71.65306122448979,312.15440115440117,3,8,198
54.224489795918366,262.6998556998557,9,8,0,54.224489795918366,272.6998556998557,8,8,85
88.36734693877551,272.8715728715729,7,11,3,78.36734693877551,272.8715728715729,7,10,104
69.79591836734694,268.16450216450215,9,10,0,69.79591836734694,278.16450216450215,8,9,207
83.85714285714286,300.85858585858585,4,10,1,93.85714285714286,300.85858585858585,4,11,158
121.73469387755102,284.5815295815296,5,13,2,121.73469387755102,274.5815295815296,6,13,207
104.34693877551021,256.75468975468976,8,12,1,114.34693877551021,256.75468975468976,8,14,164
83.53061224489795,304.9682539682539,4,9,1,93.53061224489795,304.9682539682539,4,11,39
37.85714285714286,312.47474747474746,5,5,2,37.85714285714286,302.47474747474746,5,6,233
31.081632653061227,315.5281385281385,5,5,0,31.081632653061227,325.5281385281385,3,4,208
90.08163265306122,300.62914862914863,4,10,1,100.08163265306122,300.62914862914863,4,11,119
57.91836734693877,277.8759018759019,8,9,1,67.91836734693877,277.8759018759019,7,9,53
103.46938775510205,263.68831168831167,8,12,3,93.46938775510205,263.68831168831167,8,11,158
60.816326530612244,282.5137085137085,7,9,2,60.816326530612244,272.5137085137085,8,9,148
55.12244897959184,267.84271284271284,9,8,1,65.12244897959184,267.84271284271284,9,9,157
50.83673469387755,297.11544011544015,6,7,1,60.83673469387755,297.11544011544015,6,8,147
98.73469387755102,290.38961038961037,5,11,2,98.73469387755102,280.38961038961037,6,11,141
103.42857142857143,305.3131313131313,3,11,1,113.42857142857143,305.3131313131313,3,12,97
42.46938775510204,279.09235209235214,8,7,3,32.46938775510204,279.09235209235214,9,6,90
63.02040816326531,271.2178932178932,9,9,0,63.02040816326531,281.2178932178932,7,8,160
71.08163265306122,305.4271284271284,5,8,1,81.08163265306122,305.4271284271284,4,9,83
47.53061224489796,314.05916305916304,4,6,1,57.53061224489796,314.05916305916304,4,7,185
119.20408163265306,299.987012987013,3,12,0,119.20408163265306,309.987012987013,2,12,41
49.87755102040816,321.52092352092353,3,6,1,59.87755102040816,321.52092352092353,3,7,197
38.06122448979592,301.6839826839827,5,6,0,38.06122448979592,311.6839826839827,5,5,51
110.65306122448979,304.83116883116884,3,12,1,120.65306122448979,304.83116883116884,3,13,196
37.775510204081634,329.94660894660893,3,5,2,37.775510204081634,319.94660894660893,4,5,174
87.57142857142857,262.33333333333337,8,11,3,77.57142857142857,262.33333333333337,9,11,48
55.10204081632653,321.5440115440116,3,6,3,45.10204081632653,321.5440115440116,3,5,105
54.95918367346939,302.78643578643585,5,7,0,54.95918367346939,312.78643578643585,4,6,139
100.75510204081633,301.961038961039,4,11,0,100.75510204081633,311.961038961039,3,11,180
105.0,248.53535353535352,4,15,0,105.0,258.5353535353535,8,13,37
44.16326530612245,294.77344877344876,6,6,2,44.16326530612245,284.77344877344876,8,7,140
64.81632653061224,281.5036075036075,4,8,2,64.81632653061224,271.5036075036075,8,9,37
57.265306122448976,286.09523809523813,7,8,3,47.265306122448976,286.09523809523813,7,7,110
63.42857142857143,315.4141414141414,4,7,1,73.42857142857143,315.4141414141414,3,8,117
100.3265306122449,311.4660894660895,3,11,2,100.3265306122449,301.4660894660895,4,11,112
39.83673469387755,299.8932178932179,6,6,0,39.83673469387755,309.8932178932179,5,6,221
44.85714285714286,310.7070707070707,4,6,1,54.85714285714286,310.7070707070707,4,7,192
103.48979591836735,275.76479076479075,6,12,2,103.48979591836735,265.76479076479075,7,12,84
43.57142857142857,273.44444444444446,9,8,1,53.57142857142857,273.44444444444446,8,8,227
21.448979591836736,272.3189033189033,9,5,1,31.448979591836736,272.3189033189033,9,6,128
52.3469387755102,269.88600288600287,9,8,1,62.3469387755102,269.88600288600287,8,9,150
52.42857142857143,318.19191919191917,4,7,1,62.42857142857143,318.19191919191917,3,7,134
92.40816326530611,296.01443001443,5,11,0,92.40816326530611,306.01443001443,4,10,122
47.734693877551024,303.26839826839824,5,6,3,37.734693877551024,303.26839826839824,6,6,163
83.28571428571429,291.6060606060606,6,10,0,83.28571428571429,301.6060606060606,4,10,155
102.93877551020408,278.5887445887446,6,12,2,102.93877551020408,268.5887445887446,7,12,194
