SampledPos_x,SampledPos_y,ObservationPre_LinID,ObservationPre_row,ObservationPre_col,Action,ReachedPos_x,ReachedPos_y,ObservationPost_LinID,ObservationPost_row,ObservationPost_col,discrTouch,Loss
180.1533704390847,248.92022263450835,13,1,6,3,175.7533704390847,232.32022263450835,20,2,6,186,<built-in method item of Tensor object at 0x7f1297417040>
175.7533704390847,232.32022263450835,20,2,6,2,180.1533704390847,248.92022263450835,13,1,6,90,<built-in method item of Tensor object at 0x7f12a45b58b0>
180.1533704390847,248.92022263450835,13,1,6,1,140.3533704390847,260.9202226345084,18,2,4,90,<built-in method item of Tensor object at 0x7f12a4b27270>
96.15337043908468,256.32022263450835,17,2,3,0,135.9533704390847,244.32022263450835,18,2,4,113,<built-in method item of Tensor object at 0x7f12a20d9220>
135.9533704390847,244.32022263450835,18,2,4,0,175.7533704390847,232.32022263450835,20,2,6,113,<built-in method item of Tensor object at 0x7f12a3c11810>
175.7533704390847,232.32022263450835,20,2,6,1,135.9533704390847,244.32022263450835,19,2,5,213,<built-in method item of Tensor object at 0x7f12a4524540>
135.9533704390847,244.32022263450835,19,2,5,0,175.7533704390847,232.32022263450835,19,2,5,211,<built-in method item of Tensor object at 0x7f1297413f90>
175.7533704390847,232.32022263450835,19,2,5,1,135.9533704390847,244.32022263450835,18,2,4,211,<built-in method item of Tensor object at 0x7f12a45b58b0>
-6.081632653061224,332.51020408163265,7,1,0,0,33.71836734693878,320.51020408163265,8,1,1,82,<built-in method item of Tensor object at 0x7f12a20d91d0>
33.71836734693878,320.51020408163265,8,1,1,3,29.31836734693878,303.9102040816326,8,1,1,82,<built-in method item of Tensor object at 0x7f1297413f90>
29.31836734693878,303.9102040816326,8,1,1,3,24.91836734693878,287.3102040816326,15,2,1,193,<built-in method item of Tensor object at 0x7f12a4b27270>
24.91836734693878,287.3102040816326,15,2,1,1,-14.881632653061224,299.3102040816326,14,2,0,185,<built-in method item of Tensor object at 0x7f12974170e0>
-14.881632653061224,299.3102040816326,14,2,0,2,-10.481632653061224,315.9102040816326,14,2,0,185,<built-in method item of Tensor object at 0x7f12a24fd220>
-10.481632653061224,315.9102040816326,14,2,0,0,29.31836734693878,303.9102040816326,8,1,1,98,<built-in method item of Tensor object at 0x7f12a4524540>
29.31836734693878,303.9102040816326,8,1,1,1,-10.481632653061226,315.9102040816326,7,1,0,73,<built-in method item of Tensor object at 0x7f12974170e0>
-10.481632653061226,315.9102040816326,7,1,0,0,29.31836734693878,303.9102040816326,8,1,1,73,<built-in method item of Tensor object at 0x7f12a20d9220>
29.31836734693878,303.9102040816326,8,1,1,1,-10.481632653061226,315.9102040816326,7,1,0,92,<built-in method item of Tensor object at 0x7f1297417040>
-10.481632653061226,315.9102040816326,7,1,0,0,29.31836734693878,303.9102040816326,8,1,1,116,<built-in method item of Tensor object at 0x7f1297413f90>
38.548340548340555,287.95670995671,15,2,1,0,78.34834054834056,275.95670995671,16,2,2,162,<built-in method item of Tensor object at 0x7f12a4b27270>
78.34834054834056,275.95670995671,17,2,3,3,73.94834054834055,259.35670995670995,17,2,3,111,<built-in method item of Tensor object at 0x7f12a20d9220>
153.54834054834058,235.35670995670995,19,2,5,1,113.74834054834056,247.35670995670995,18,2,4,182,<built-in method item of Tensor object at 0x7f1297417040>
113.74834054834056,247.35670995670995,18,2,4,0,153.54834054834058,235.35670995670995,19,2,5,160,<built-in method item of Tensor object at 0x7f12a20d91d0>
153.54834054834058,235.35670995670995,19,2,5,2,157.94834054834058,251.95670995670994,19,2,5,160,<built-in method item of Tensor object at 0x7f12974170e0>
96.3922902494331,268.687074829932,17,2,3,3,91.9922902494331,252.087074829932,17,2,3,115,<built-in method item of Tensor object at 0x7f12a3c11810>
91.9922902494331,252.087074829932,17,2,3,0,131.7922902494331,240.087074829932,18,2,4,115,<built-in method item of Tensor object at 0x7f12a4524540>
131.7922902494331,240.087074829932,18,2,4,0,171.59229024943312,228.087074829932,20,2,6,117,<built-in method item of Tensor object at 0x7f12a20d91d0>
171.59229024943312,228.087074829932,20,2,6,2,175.99229024943313,244.687074829932,20,2,6,117,<built-in method item of Tensor object at 0x7f12a4b27270>
175.99229024943313,244.687074829932,20,2,6,1,136.1922902494331,256.687074829932,19,2,5,126,<built-in method item of Tensor object at 0x7f12a20d9220>
136.1922902494331,256.687074829932,19,2,5,2,140.59229024943312,273.287074829932,11,1,4,126,<built-in method item of Tensor object at 0x7f1297413f90>
140.59229024943312,273.287074829932,11,1,4,1,100.79229024943311,285.287074829932,10,1,3,159,<built-in method item of Tensor object at 0x7f1297417040>
100.79229024943311,285.287074829932,10,1,3,2,105.19229024943311,301.88707482993203,10,1,3,149,<built-in method item of Tensor object at 0x7f12974170e0>
105.19229024943311,301.88707482993203,10,1,3,2,109.59229024943312,318.48707482993206,3,0,3,149,<built-in method item of Tensor object at 0x7f12a20d9220>
109.59229024943312,318.48707482993206,3,0,3,1,69.79229024943311,330.48707482993206,2,0,2,119,<built-in method item of Tensor object at 0x7f12a4524540>
49.53803339517624,321.2282003710575,2,0,2,2,53.93803339517624,337.8282003710575,1,0,1,142,<built-in method item of Tensor object at 0x7f12a20d91d0>
53.93803339517624,337.8282003710575,1,0,1,0,93.73803339517625,325.8282003710575,3,0,3,155,<built-in method item of Tensor object at 0x7f12a45b58b0>
93.73803339517625,325.8282003710575,3,0,3,1,53.93803339517624,337.8282003710575,1,0,1,98,<built-in method item of Tensor object at 0x7f12a24fd220>
