Computer Time (ms),touch_row,touch_col,type
39011,4,12,2
39086,4,13,2
39164,4,13,2
39250,5,14,2
39329,5,14,2
39409,5,15,2
39484,5,15,2
39563,5,14,2
39642,5,13,2
39722,5,13,2
39801,6,13,2
39880,6,13,2
39960,6,13,2
40039,7,14,2
40119,7,14,2
40199,7,15,2
40272,7,16,2
40362,7,16,2
40437,7,17,2
40516,8,17,2
40596,8,17,2
40675,8,18,2
40755,9,18,2
40834,9,18,2
40913,9,18,2
40993,9,17,2
41072,9,17,2
41152,9,16,2
41231,9,15,2
41310,9,15,2
41390,10,14,2
41470,10,14,2
41549,10,13,2
41629,10,13,2
41708,10,12,2
41788,10,12,2
41867,10,11,2
41946,10,12,2
42026,10,12,2
42105,10,13,2
42185,9,13,2
42266,9,14,2
42344,9,14,2
42423,8,15,2
42503,8,15,2
42587,8,14,2
42666,8,14,2
42741,8,13,2
42826,8,13,2
42903,8,12,2
42977,8,11,2
43061,8,11,2
43140,8,10,2
43220,8,10,2
43299,8,9,2
43379,8,9,2
43458,7,10,2
43537,7,10,2
43617,7,11,2
43696,7,11,2
43776,6,12,2
43858,6,12,2
43938,6,13,2
44016,6,13,2
44091,6,14,2
44172,5,14,2
44255,5,15,2
44336,5,15,2
44414,5,16,2
44489,4,16,2
44568,4,17,2
44648,4,17,2
44728,4,18,2
44812,4,18,2
44890,4,17,2
44965,4,16,2
45044,4,16,2
45124,4,15,2
45203,4,15,2
45282,4,14,2
45362,4,14,2
45442,4,13,2
45527,4,12,2
45606,4,12,2
45686,4,13,2
45766,5,13,2
45844,5,14,2
45919,5,14,2
45999,5,15,2
46086,5,15,2
46161,5,16,2
46242,5,16,2
46322,5,17,2
46401,5,17,2
46475,4,17,2
46555,4,18,2
46639,3,18,2
46719,3,17,2
46798,2,17,2
46876,2,16,2
46957,2,16,2
47037,2,15,2
47115,2,15,2
47190,2,16,2
47266,2,16,2
47354,2,17,2
47508,3,18,2
47587,3,19,2
47667,3,19,2
47751,3,19,2
47830,3,19,2
47905,3,18,2
47985,3,18,2
48064,3,17,2
48144,3,16,2
48223,3,16,2
48307,4,15,2
48389,4,15,2
48466,4,14,2
48545,4,14,2
48620,4,13,2
48700,4,12,2
48780,4,12,2
48859,4,11,2
48938,4,11,2
49018,3,11,2
49097,3,11,2
49177,3,10,2
49256,3,9,2
49340,3,9,2
49415,3,8,2
49496,3,8,2
49574,3,7,2
49653,3,6,2
49738,3,6,2
49818,4,6,2
49897,4,6,2
49969,5,7,2
50048,5,7,2
50132,5,8,2
50213,5,8,2
50289,5,8,2
50367,5,8,2
50446,6,8,2
50526,6,7,2
50605,7,7,2
50686,7,6,2
50764,7,7,2
50842,7,7,2
50929,6,8,2
51003,6,8,2
51083,6,9,2
51162,5,9,2
51241,5,10,2
51321,5,10,2
51401,5,10,2
51480,5,10,2
51559,5,9,2
51639,6,8,2
51718,6,8,2
51804,6,8,2
51878,6,7,2
51963,7,7,2
52037,6,6,2
52116,6,7,2
52196,5,7,2
52272,5,7,2
52359,5,8,2
52439,5,8,2
52513,5,9,2
52599,5,9,2
52676,5,10,2
52752,5,10,2
52837,5,11,2
52914,5,12,2
52991,4,12,2
53070,4,13,2
53149,4,13,2
53227,3,13,2
53312,4,13,2
53392,4,12,2
53467,4,12,2
53546,5,11,2
53631,5,11,2
53703,5,10,2
53782,6,11,2
53869,6,11,2
53948,7,11,2
54023,8,11,2
54107,8,12,2
54187,9,11,2
54266,9,11,2
54346,9,10,2
54421,10,10,2
54504,10,11,2
54584,10,11,2
54659,10,11,2
54733,10,12,2
54826,9,12,2
54902,9,12,2
54981,8,11,2
55056,7,11,2
55141,7,12,2
55220,7,12,2
55302,7,13,2
55374,6,13,2
55453,6,14,2
55533,6,14,2
55613,6,15,2
55697,5,15,2
55776,5,15,2
55853,6,15,2
55930,6,14,2
56009,6,14,2
56089,6,13,2
56168,6,13,2
56248,7,13,2
56327,7,13,2
56408,8,13,2
56486,8,14,2
56565,8,14,2
56650,9,15,2
56729,9,15,2
56804,10,15,2
56883,9,15,2
56963,8,15,2
57042,8,15,2
57127,7,16,2
57206,7,16,2
57281,7,17,2
57360,7,17,2
57440,7,18,2
57519,6,19,2
57598,6,19,2
57673,6,19,2
57761,6,18,2
57840,6,18,2
57918,6,17,2
57995,6,16,2
58074,6,16,2
58154,6,15,2
58233,6,15,2
58313,6,14,2
58393,6,14,2
58472,6,13,2
58551,6,13,2
58630,6,14,2
58712,6,14,2
58792,6,15,2
58872,6,15,2
58951,6,16,2
59030,5,16,2
59110,5,17,2
59189,5,17,2
59264,5,18,2
59351,5,17,2
59431,5,17,2
59510,4,16,2
59585,4,16,2
59664,4,16,2
59747,5,16,2
59827,5,16,2
59908,6,16,2
59986,7,16,2
60061,6,16,2
60141,6,16,2
60220,5,15,2
60300,5,15,2
60377,4,15,2
60456,4,16,2
60543,4,16,2
60621,3,17,2
60695,3,17,2
60778,3,16,2
60861,2,15,2
60940,2,15,2
61015,2,15,2
61094,2,15,2
61174,3,16,2
61258,3,16,2
61338,3,17,2
61413,3,17,2
61491,4,18,2
61571,3,18,2
61655,2,18,2
61735,2,18,2
61810,2,17,2
61889,3,17,2
61974,3,16,2
62053,3,15,2
62131,3,15,2
62206,4,14,2
62286,4,14,2
62365,4,15,2
62445,4,16,2
62525,4,16,2
62610,3,17,2
62683,3,17,2
62762,3,18,2
62842,3,18,2
62922,3,19,2
63001,4,20,2
63081,4,20,2
63160,3,19,2
63240,3,19,2
63319,3,18,2
63398,2,18,2
63483,2,17,2
63562,2,17,2
63636,2,16,2
63716,2,17,2
63795,2,17,2
63878,2,18,2
63958,2,18,2
64037,1,19,2
64116,1,19,2
64277,2,19,2
64352,3,19,2
64431,3,18,2
64510,2,18,2
64590,2,17,2
64669,2,17,2
64744,2,16,2
64834,2,16,2
64908,1,16,2
64987,1,17,2
65067,1,17,2
65146,1,17,2
65226,2,16,2
65305,2,16,2
65464,3,15,2
65543,3,14,2
65623,3,14,2
65702,3,13,2
65782,3,13,2
65861,3,12,2
65940,3,11,2
66025,4,11,2
66104,4,10,2
66179,4,10,2
66258,4,9,2
66338,4,9,2
66417,5,8,2
66497,6,8,2
66576,6,8,2
66656,7,7,2
66740,7,7,2
66819,7,8,2
66894,7,8,2
66978,7,9,2
67057,6,9,2
67132,6,10,2
67212,6,10,2
67291,5,11,2
67371,5,11,2
67450,4,12,2
67530,4,12,2
67609,4,12,2
67688,4,13,2
67768,5,13,2
67847,5,14,2
67927,6,14,2
68006,6,15,2
68086,6,15,2
68165,6,16,2
68244,5,16,2
68324,5,17,2
68403,5,17,2
68483,5,18,2
68560,5,19,2
68647,5,19,2
68726,5,20,2
68801,5,19,2
68880,5,18,2
68960,5,18,2
69039,5,17,2
69119,5,17,2
69198,5,16,2
69278,5,16,2
69352,5,15,2
69442,5,14,2
69520,5,14,2
69599,5,13,2
69675,5,14,2
69759,5,14,2
69838,5,15,2
69913,5,15,2
69997,5,16,2
70077,6,16,2
70151,6,17,2
70231,6,17,2
70314,7,18,2
70390,7,17,2
70469,7,16,2
70549,7,16,2
70633,7,15,2
70708,7,15,2
70792,7,16,2
70871,7,16,2
70946,7,17,2
71025,8,17,2
71105,8,18,2
71184,8,18,2
71267,8,18,2
71347,8,18,2
71422,8,17,2
71507,9,16,2
71576,9,16,2
71664,9,15,2
71743,9,15,2
71825,9,16,2
71903,9,16,2
71976,9,17,2
72061,9,17,2
72139,9,18,2
72219,9,18,2
72301,9,18,2
72376,9,18,2
72458,9,17,2
72531,9,18,2
72619,8,18,2
72698,8,19,2
72774,8,19,2
72854,8,19,2
72932,7,18,2
73012,7,18,2
73091,7,17,2
73170,6,17,2
73251,6,17,2
73329,6,17,2
73409,6,17,2
73495,6,18,2
73571,6,18,2
73645,7,19,2
73729,6,19,2
73800,7,19,2
73891,7,19,2
73969,8,19,2
74045,9,19,2
74124,9,19,2
74203,8,19,2
74283,8,18,2
74364,7,18,2
74442,7,18,2
74521,6,17,2
74601,6,17,2
74680,5,16,2
74760,5,16,2
74839,5,15,2
74923,6,15,2
75003,6,14,2
75077,5,14,2
75157,5,14,2
75236,5,15,2
75316,5,15,2
75395,5,16,2
75474,4,17,2
75554,4,17,2
75633,4,17,2
75713,4,17,2
75793,4,16,2
75872,4,15,2
75951,5,15,2
76031,5,14,2
76110,5,14,2
76190,5,13,2
76269,5,13,2
76348,4,12,2
76428,4,11,2
76507,4,11,2
76587,4,10,2
76666,4,10,2
76746,4,10,2
76820,4,10,2
76910,4,11,2
76989,4,11,2
77064,4,12,2
77148,3,12,2
77227,3,13,2
77306,3,14,2
77381,3,14,2
77462,3,15,2
77540,3,15,2
77620,3,15,2
77700,3,15,2
77779,3,15,2
77864,4,15,2
77943,4,16,2
78017,4,15,2
78097,4,14,2
78176,5,14,2
78264,5,13,2
78334,5,13,2
78413,5,12,2
78493,5,12,2
78578,5,11,2
78656,6,11,2
78732,6,10,2
78812,6,11,2
78891,6,11,2
78970,6,12,2
79129,5,13,2
79209,5,14,2
79288,5,14,2
79367,5,15,2
79447,5,15,2
79526,5,16,2
79610,5,16,2
79689,5,17,2
79769,4,17,2
79848,4,18,2
79927,4,18,2
80006,5,17,2
80086,5,17,2
80166,4,17,2
80245,3,18,2
80324,3,18,2
80404,3,18,2
80483,3,17,2
80558,3,16,2
80644,3,16,2
80723,3,15,2
80801,4,15,2
80881,4,14,2
80956,4,14,2
81035,4,13,2
81117,5,13,2
81197,5,12,2
81278,5,11,2
81356,5,11,2
81435,6,11,2
81515,6,11,2
81595,7,12,2
81675,7,12,2
81760,8,12,2
81825,8,13,2
81915,8,13,2
81994,8,14,2
82069,8,14,2
82149,8,15,2
82228,8,15,2
82312,8,16,2
82390,8,16,2
82465,8,17,2
82551,8,17,2
82625,8,17,2
82705,7,17,2
82784,7,16,2
82869,8,16,2
82948,8,16,2
83027,9,17,2
83107,9,17,2
83186,9,17,2
83261,9,18,2
83340,9,18,2
83419,9,18,2
83499,9,18,2
83579,9,17,2
83658,9,17,2
83738,9,16,2
83822,9,16,2
83901,8,15,2
83976,8,15,2
84055,8,14,2
84134,8,14,2
84219,8,13,2
84297,7,13,2
84373,7,12,2
84452,7,12,2
84532,6,13,2
84612,6,13,2
84692,6,14,2
84765,5,14,2
84854,5,14,2
84927,5,14,2
85009,5,13,2
85093,5,13,2
85168,5,14,2
85247,5,14,2
85326,5,15,2
85411,5,15,2
85491,5,16,2
85565,5,16,2
85649,4,17,2
85727,3,17,2
85801,3,17,2
85886,2,16,2
85964,2,16,2
86043,3,15,2
86123,3,15,2
86203,3,14,2
86283,3,14,2
86361,3,13,2
86441,3,12,2
86520,4,12,2
86603,4,12,2
86684,3,12,2
86756,3,13,2
86841,3,13,2
86920,3,14,2
87000,3,14,2
87078,2,15,2
87154,2,15,2
87233,2,16,2
87316,2,16,2
87392,3,17,2
87472,4,17,2
87551,4,17,2
87630,3,16,2
87710,3,16,2
87795,3,15,2
87874,3,15,2
87948,2,14,2
88027,2,13,2
88114,2,13,2
88187,2,12,2
88268,2,12,2
88347,2,11,2
88427,2,10,2
88507,2,10,2
88586,2,9,2
88665,2,8,2
88745,2,8,2
88824,1,7,2
88907,1,7,2
88981,1,6,2
89061,1,6,2
89145,1,5,2
89224,1,5,2
89299,2,4,2
89378,2,4,2
89457,2,3,2
89621,3,2,2
89858,3,1,2
89938,3,0,2
90017,4,0,2
90097,4,0,2
90176,3,0,2
90256,3,0,2
90332,2,0,2
90416,1,0,2
90654,2,2,2
90733,2,2,2
90814,2,3,2
