Computer Time,jointAngle1,jointAngle2
2662,-0.7853981633974483,0.7853981633974483,1
3082,-0.6912925726140084,0.8956460238896702,1
3251,-0.7016650330297096,1.0837628796206185,1
3434,-0.7621886730690838,1.2116498150058337,1
3937,-0.7264844557553736,1.2319503709241195,1
4101,-0.5961536173182009,1.2257335523403814,1
4914,-0.5343872285231108,1.1073578750494844,1
5412,-0.6541165685337492,0.9757663230361275,1
5974,-0.6005051550389316,1.0911313530657847,1
6913,-0.485391719814935,1.127495894554496,1
7182,-0.6530934591461908,1.0223866683011977,1
7414,-0.6858218448701426,0.9719303797541752,1
7572,-0.7765872755758527,1.1503937158676552,1
7966,-0.8425718771322115,1.25902013260924,1
8361,-0.8724218587178981,1.4540160166027456,1
8825,-0.9349050956305649,1.3769250792690082,1
9405,-0.8430511781710459,1.4323680048069023,1
9685,-0.8026762915069665,1.6237349131528074,1
10148,-0.6945288460696726,1.4820988268487338,1
10411,-0.5285280744766536,1.3845809103209112,1
10812,-0.417352936348662,1.2611380160888845,1
11324,-0.3588967626799792,1.342182438967561,1
11405,-0.39641317563835926,1.1821750275984155,1
11804,-0.3943272968644813,1.146188679847834,1
12205,-0.37180005154437457,1.2741460433755505,1
12336,-0.5159594388833226,1.3673854822281872,1
12778,-0.4748404398726902,1.3520572257966108,1
13031,-0.4967122885800126,1.1994851391318395,1
13818,-0.6007617492053512,1.337852378535049,1
14121,-0.780893143717516,1.2992649607349338,1
14455,-0.7202332299735512,1.1134164461000031,1
14632,-0.6922469841069421,1.2066319316184995,1
15039,-0.7673505005186703,1.322540617010516,1
15441,-0.6163629485170126,1.2177593091543963,1
16157,-0.6826763843058984,1.1558731089675505,1
16369,-0.5203916116730655,1.1814031423819482,1
16856,-0.613101194438258,1.2866391284359597,1
17219,-0.6119947527027383,1.0936297746537935,1
18100,-0.7435586820066091,1.190139722885002,1
18254,-0.6032035790619512,1.3402495726887984,1
18355,-0.5718048003324115,1.24949790557414,1
18675,-0.5405436788029939,1.2327422403425792,1
19341,-0.5047413494195361,1.3144156090450316,1
19531,-0.6772748592690204,1.319723239112121,1
20159,-0.6812372367489624,1.3986727190941752,1
20749,-0.5295133763065756,1.432718773936073,1
