Time,jointAngle1,jointAngle2,touch_row,touch_col
2662,-0.7853981633974483,0.7853981633974483,0,19
3082,-0.6912925726140084,0.8956460238896702,2,17
3251,-0.7016650330297096,1.0837628796206185,3,16
3434,-0.7621886730690838,1.2116498150058337,3,14
3937,-0.7264844557553736,1.2319503709241195,2,11
4101,-0.5961536173182009,1.2257335523403814,1,12
4914,-0.5343872285231108,1.1073578750494844,1,17
5412,-0.6541165685337492,0.9757663230361275,1,13
5974,-0.6005051550389316,1.0911313530657847,1,10
6913,-0.485391719814935,1.127495894554496,1,17
7182,-0.6530934591461908,1.0223866683011977,1,18
7414,-0.6858218448701426,0.9719303797541752,3,18
7572,-0.7765872755758527,1.1503937158676552,4,17
7966,-0.8425718771322115,1.25902013260924,6,16
8361,-0.8724218587178981,1.4540160166027456,6,18
8825,-0.9349050956305649,1.3769250792690082,6,14
9405,-0.8430511781710459,1.4323680048069023,8,11
9685,-0.8026762915069665,1.6237349131528074,6,10
10148,-0.6945288460696726,1.4820988268487338,5,7
10411,-0.5285280744766536,1.3845809103209112,4,5
10812,-0.417352936348662,1.2611380160888845,5,4
11324,-0.3588967626799792,1.342182438967561,2,6
11405,-0.39641317563835926,1.1821750275984155,2,6
11804,-0.3943272968644813,1.146188679847834,4,5
12205,-0.37180005154437457,1.2741460433755505,5,7
12336,-0.5159594388833226,1.3673854822281872,4,7
12778,-0.4748404398726902,1.3520572257966108,3,9
13031,-0.4967122885800126,1.1994851391318395,4,10
13818,-0.6007617492053512,1.337852378535049,4,15
14121,-0.780893143717516,1.2992649607349338,2,16
14455,-0.7202332299735512,1.1134164461000031,3,14
14632,-0.6922469841069421,1.2066319316184995,4,14
15039,-0.7673505005186703,1.322540617010516,3,12
15441,-0.6163629485170126,1.2177593091543963,2,14
16157,-0.6826763843058984,1.1558731089675505,3,10
16369,-0.5203916116730655,1.1814031423819482,3,11
16856,-0.613101194438258,1.2866391284359597,2,14
17219,-0.6119947527027383,1.0936297746537935,3,16
18100,-0.7435586820066091,1.190139722885002,4,10
18254,-0.6032035790619512,1.3402495726887984,3,10
18355,-0.5718048003324115,1.24949790557414,3,9
18675,-0.5405436788029939,1.2327422403425792,4,8
19341,-0.5047413494195361,1.3144156090450316,4,12
19531,-0.6772748592690204,1.319723239112121,5,11
20159,-0.6812372367489624,1.3986727190941752,6,6
20749,-0.5295133763065756,1.432718773936073,9,4
21352,-0.4658276547071077,1.5919467081158236,7,8
21447,-0.5731893166124646,1.4859127934623193,7,8
21728,-0.6103712716471182,1.513316361751815,5,9
22004,-0.6015204933739857,1.3905584968124929,5,7
22117,-0.5493001751071298,1.4222769253119758,5,7
22515,-0.5454651572679249,1.3726286335174966,6,6
22679,-0.4898381044357007,1.4584234284036397,6,7
23287,-0.5328696314851313,1.4519058560382532,3,11
23299,-0.6116249301013712,1.313568956316851,3,11
23711,-0.6104620629384481,1.3077500107699898,2,12
24219,-0.6156309451234739,1.1475665273804814,3,10
25012,-0.5530020185790092,1.2575855871790917,2,15
25225,-0.6898565629958571,1.14625667927226,3,13
25535,-0.698792562221506,1.2445649802165923,2,12
25642,-0.6127413842491225,1.2250300647603727,2,12
25744,-0.5813349641436997,1.148100745189266,2,12
26561,-0.5766070486856443,1.102322770416266,4,6
26955,-0.48071051444466806,1.2900527280597716,6,5
27364,-0.4753763959733924,1.4393472258784181,4,3
27857,-0.30615619401545374,1.2684741655020881,2,4
28333,-0.3510756690130312,1.130851052345048,1,2
28631,-0.16316624643012034,0.9647429409864926,2,4
29243,-0.29368684592697514,1.113695472054708,1,8
29384,-0.4657298241931302,1.1636175795401236,1,7
29845,-0.4133983621783156,1.0575131829047753,2,4
30188,-0.3134422285436405,1.0758774866372236,1,2
30334,-0.23610264554057514,1.0821626798635502,1,2
30749,-0.16324971694306428,0.9745681796820567,2,5
31176,-0.3212828333442004,1.109456186395246,3,8
31252,-0.4718318995791231,1.2199130619383958,3,8
31768,-0.4958146489179744,1.2675278592224573,4,12
32286,-0.6337485320262335,1.28406497449721,5,15
